,# Instances test set,Misclassified count,Misclassified ratio
Web Attack,2180,2069,0.9490825688073394
Heartbleed,11,9,0.8181818181818182
Bot,1966,1423,0.7238046795523907
SSH-Patator,5897,2926,0.49618450059352215
DDoS,128027,51422,0.40164965202652564
DoS,252658,92823,0.3673859525524622
Infiltration,36,7,0.19444444444444445
FTP-Patator,7938,1190,0.14991181657848324
BENIGN,1136374,141920,0.12488846101723552
PortScan,158930,1173,0.007380607814761216
