,# Instances test set,Misclassified count,Misclassified ratio
Heartbleed,11,11,1.0
DDoS,128027,128011,0.9998750263616268
DoS,252658,250542,0.9916250425476335
Infiltration,36,35,0.9722222222222222
SSH-Patator,5897,2920,0.495167034085128
FTP-Patator,7938,3863,0.48664651045603424
Bot,1966,785,0.3992878942014242
BENIGN,1136374,302151,0.2658904550790497
Web Attack,2180,279,0.12798165137614678
PortScan,158930,398,0.002504247152834581
