,# Instances test set,Misclassified count,Misclassified ratio
FTP-Patator,7938,7938,1.0
Web Attack,2180,2177,0.9986238532110092
SSH-Patator,5897,5876,0.9964388672206207
Heartbleed,11,10,0.9090909090909091
Infiltration,36,31,0.8611111111111112
DDoS,128027,86187,0.6731939356541979
Bot,1966,1282,0.6520854526958291
DoS,252658,100971,0.3996350798312343
BENIGN,1136374,151580,0.13338918349064657
PortScan,158930,2706,0.01702636380796577
