,# Instances test set,Misclassified count,Misclassified ratio
BENIGN,1136374,1090819,0.9599119656028737
Heartbleed,11,10,0.9090909090909091
DoS,252658,146498,0.5798272763973434
Infiltration,36,9,0.25
DDoS,128027,27760,0.21682926257742507
Bot,1966,25,0.01271617497456765
PortScan,158930,114,0.0007172969231737243
FTP-Patator,7938,0,0.0
SSH-Patator,5897,0,0.0
Web Attack,2180,0,0.0
