,# Instances test set,Misclassified count,Misclassified ratio
PortScan,158930,158729,0.9987352922670358
SSH-Patator,5897,5877,0.9966084449720197
Web Attack,2180,2164,0.9926605504587156
Bot,1966,1943,0.9883011190233978
DDoS,128027,103559,0.8088840635178517
FTP-Patator,7938,3993,0.5030234315948602
Infiltration,36,18,0.5
BENIGN,1136374,444497,0.3911537926774108
DoS,252658,83508,0.3305179333328056
Heartbleed,11,1,0.09090909090909091
