,# Instances test set,Misclassified count,Misclassified ratio
Heartbleed,11,11,1.0
BENIGN,1136374,978759,0.8613000649434077
Infiltration,36,29,0.8055555555555556
DoS,252658,157906,0.6249792209231452
DDoS,128027,67649,0.5283963538941004
FTP-Patator,7938,3947,0.4972285210380448
Bot,1966,34,0.017293997965412006
SSH-Patator,5897,16,0.0027132440223842634
PortScan,158930,213,0.0013402126722456427
Web Attack,2180,0,0.0
