,# Instances test set,Misclassified count,Misclassified ratio
Heartbleed,11,11,1.0
Infiltration,36,33,0.9166666666666666
DoS,252658,215846,0.8543010710129899
DDoS,128027,109263,0.8534371655978817
BENIGN,1136374,643834,0.5665687528929736
Web Attack,2180,92,0.04220183486238532
Bot,1966,46,0.023397761953204477
PortScan,158930,393,0.0024727867614673126
SSH-Patator,5897,9,0.001526199762591148
FTP-Patator,7938,11,0.001385739480977576
