,# Instances test set,Misclassified count,Misclassified ratio,Accuracy
Infiltration,161934,129410,0.7991527412402584,0.20084725875974163
Bot,286191,145142,0.5071508188587343,0.49284918114126575
DDoS,1263933,559054,0.4423130023505993,0.5576869976494008
Web Attack,928,383,0.41271551724137934,0.5872844827586207
Benign,6742346,1167421,0.17314759580715675,0.8268524041928432
FTP-BruteForce,193360,18845,0.09746069507654116,0.9025393049234588
DoS,654300,22192,0.03391716338071221,0.9660828366192877
SSH-Bruteforce,187589,2,1.066160595770541e-05,0.9999893383940422
