,# Instances test set,Misclassified count,Misclassified ratio
Heartbleed,11,11,1.0
DDoS,128027,116712,0.911620205112984
Infiltration,36,30,0.8333333333333334
DoS,252658,140314,0.5553515028219965
FTP-Patator,7938,3964,0.4993701184177375
SSH-Patator,5897,2920,0.495167034085128
Bot,1966,784,0.3987792472024415
BENIGN,1136374,349946,0.30794967149899594
Web Attack,2180,194,0.0889908256880734
PortScan,158930,316,0.001988296734411376
